Position_X1,Position_Y1,Position_X2,Position_Y2,Position_X3,Position_Y3,Velocity_X1,Velocity_Y1,Velocity_X2,Velocity_Y2,Velocity_X3,Velocity_Y3,Momentum_X1,Momentum_Y1,Momentum_X2,Momentum_Y2,Momentum_X3,Momentum_Y3
100000000000.0,0.0,-100000000000.0,0.0,0.0,150000000000.0,0.0,30000.0,0.0,-30000.0,20000.0,0.0,0.0,1.7916e+29,0.0,-5.967e+34,1.4696e+27,0.0
100000000000.0,300000000.0,-100000000000.0,-300000000.0,200000000.0,150000000000.0,-33.18795758704697,30000.000001255572,0.00010048434597226174,-29999.999998744428,19977.342386649645,-33.98662411553673,-1.981984827098445e+26,1.791600000074983e+29,1.998633641388286e+26,-5.966999999750266e+34,1.467935118571016e+27,-2.497337140009639e+24
99999668120.42413,600000000.0125557,-99999999998.99516,-599999999.9874443,399773423.86649644,149999660133.75885,-66.37546714507644,29999.900439990026,0.00020096400855107666,-29999.999997194926,19954.775133128813,-67.83770930560767,-3.963942897903965e+26,1.7915940542762045e+29,3.997174130080914e+26,-5.96699999944207e+34,1.466276876782305e+27,-4.984714879776052e+24
99999004365.75269,899999004.412456,-99999999996.98552,-899999999.9593935,599321175.1977845,149998981756.6658,-99.56174280260586,29999.701323276407,0.0003014366518237048,-29999.999995351478,19932.297598527675,-101.55421694059726,-5.945827280171622e+26,1.791582163026067e+29,5.995575004773488e+26,-5.966999999075409e+34,1.4646252275398137e+27,-7.462203860795087e+24
99998008748.32466,1199996017.64522,-99999999993.97115,-1199999999.9129083,798644151.1830614,149997966214.4964,-132.74599882959825,29999.402664928988,0.0004018999400620609,-29999.999993214093,19909.909148433886,-135.13709864472094,-7.927591050103608e+26,1.7915643271495593e+29,7.993789807834391e+26,-5.966999998650283e+34,1.4629801242269218e+27,-9.929874008414094e+24
99996681288.33636,1499990044.29451,-99999999989.95215,-1499999999.8450494,997743242.6674002,149996614843.50995,-165.92744972767463,29999.004485500664,0.0005023515379967371,-29999.999990782795,19887.60915484708,-168.58729642427207,-9.909187297736729e+26,1.7915405478740996e+29,9.9917720907551e+26,-5.966999998166698e+34,1.4613415206981633e+27,-1.2387794541255512e+25
99995022013.83908,1799980089.1495166,-99999999984.92863,-1799999999.7528772,1196619334.215871,149994928970.54572,-199.1053103202647,29998.506812279047,0.0006027891110907886,-29999.999988057636,19865.396996094758,-201.9057427937964,-1.1890569132326209e+27,1.7915108268293047e+29,1.1989475419595785e+27,-5.9669999976246635e+34,1.4597093712730426e+27,-1.4836033980488159e+25
99993030960.73589,2099965157.272307,-99999999978.90074,-2099999999.6334536,1395273304.1768186,149992909913.11777,-232.27879584267185,29997.90967928133,0.0007032103258132137,-29999.99998503868,19843.272056749527,-235.09336090023396,-1.3871689687724365e+27,1.791475166046681e+29,1.398685338042482e+27,-5.966999997024193e+34,1.4580836307299552e+27,-1.7274660158949191e+25
99990708172.77747,2399944254.06512,-99999999971.86864,-2399999999.4838405,1593706024.744314,149990558979.50876,-265.44712203202863,29997.213127247833,0.0008036128499120529,-29999.999981726018,19821.233727547668,-268.1510646450668,-1.585250212775275e+27,1.7914335679592407e+29,1.5983859584750732e+27,-5.966999996365304e+34,1.4564642543002025e+27,-1.9703740230119507e+25
99988053701.55714,2699916385.337599,-99999999963.8325,-2699999999.3011007,1791918362.0197906,149987877468.8623,-298.6095052171187,29996.41720363433,0.0009039943526870427,-29999.999978119755,19799.281405309004,-301.0797588045112,-1.7832959651566328e+27,1.7913860354010423e+29,1.798044767494528e+27,-5.966999995648019e+34,1.4548511976621057e+27,-2.2123340676955483e+25
99985067606.50497,2999880557.373942,-99999999954.79256,-2999999999.0822983,1989911176.0728807,149984866671.27426,-331.7651624080413,29995.52196260309,0.0010043525052617463,-29999.999974220023,19777.41449285806,-333.88033914779055,-1.9813015499008227e+27,1.7913325716066565e+29,1.9976571329656132e+27,-5.966999994872362e+34,1.4532444169352102e+27,-2.453352732057965e+25
99981749954.88089,3299835776.999973,-99999999944.74904,-3299999998.8244987,2187685321.0014615,149981527867.88278,-364.9133113856952,29994.52746501265,0.0011046849808550962,-29999.999970026973,19755.63239894647,-366.55369255352616,-2.1792622955953716e+27,1.7912731802105554e+29,2.1972184269207862e+27,-5.966999994038365e+34,1.4516438686745864e+27,-2.69343653288331e+25
99978100821.76703,3599781051.6500993,-99999999933.7022,-3599999998.5247684,2385241644.9909263,149977862330.95724,-398.05317079105714,29993.43377840636,0.0012049894550522767,-29999.999965540774,19733.934538176596,-399.10069712428066,-2.3771735359641933e+27,1.791207865246428e+29,2.3967240260989784e+27,-5.96699999314606e+34,1.450049509865216e+27,-2.9325919224692143e+25
99974120290.05911,3899715389.434163,-99999999921.6523,-3899999998.1801763,2582580990.372692,149973871323.986,-431.18396021423257,29992.24097699966,0.001305263606074875,-29999.999960761616,19712.3203309264,-431.52222229928896,-2.575030610399397e+27,1.7911366311464197e+29,2.596169312482926e+27,-5.966999992195485e+34,1.4484612979164717e+27,-3.170825289455175e+25
99969808450.45697,4199637799.2041597,-99999999908.59966,-4199999997.787792,2779704193.6819563,149969556101.763,-464.3049002832544,29990.949141666097,0.0014055051150502343,-29999.999955689713,19690.78920327546,-463.8191289654114,-2.7728288644915956e+27,1.7910594827402994e+29,2.795549673834916e+27,-5.966999991186683e+34,1.446879190656681e+27,-3.4081429596378425e+25
